afrikaan afrikaans
alemannisch alemannisch
aragoné aragonés
associ associated
asturianu asturianu
award awards
azərbaycanca azərbaycanca
bahasa bahasa
bali bali
basa basa
best best
bnf bnf
boarisch boarisch
bokmål bokmål
bosanski bosanski
britannica britannica
català català
cc cc
championship championship
chobillon chobillon
com com
common commons
covid covid
creativ creative
cymraeg cymraeg
dansk dansk
deutsch deutsch
druhé druhé
eesti eesti
english english
español español
esperanto esperanto
euro euro
european european
euskara euskara
facebook facebook
fair fair
fifa fifa
footbal football
fotbalu fotbalu
foundat foundation
françai français
frysk frysk
futbol futbol
føroyskt føroyskt
gaeilg gaeilge
galego galego
gnd gnd
hrvatski hrvatski
https https
inc inc
index index
indonesia indonesia
instagram instagram
italiano italiano
jawa jawa
kniha kniha
ko ko
lang lang
latviešu latviešu
lietuvių lietuvių
limburg limburgs
lëtzebuergesch lëtzebuergesch
machin machine
macho macho
magyar magyar
malti malti
melayu melayu
men men
michel michel
minangkabau minangkabau
mundial mundial
nederland nederlands
nkc nkc
norsk norsk
occitan occitan
oldid oldid
org org
oʻzbekcha oʻzbekcha
page pages
pdf pdf
ph ph
php php
play play
player player
polski polski
portuguê português
qaraqalpaqsha qaraqalpaqsha
qr qr
română română
rozšířené rozšířené
ru ru
sa sa
shqip shqip
simpl simple
slovenčina slovenčina
slovenščina slovenščina
soccer soccer
soomaaliga soomaaliga
srpski srpski
srpskohrvatski srpskohrvatski
stat stat
suomi suomi
svenska svenska
tatarça tatarça
tiktok tiktok
titl title
tiếng tiếng
türkçe türkçe
uefa uefa
url url
viaf viaf
việt việt
vlam vlams
vydání vydání
wayback wayback
west west
wikimedia wikimedia
wikipedia wikipedia
women women
worldcat worldcat
xx xx
zazaki zazaki
zlatá zlatá
íslenska íslenska
čeština čeština
ελληνικά ελληνικά
август августа
авеланж авеланж
австрия австрия
автоголы автоголы
автоматически автоматически
автоматический автоматического
автор автор
авторитетный авторитетными
авторство авторства
агустина агустин
азербайджан азербайджан
активный активным
алан алан
албания албании албания
алфавит алфавиту
альваро альваро
альфред альфред
англ англ
англия англия
андрейевич андрейевич
анри анри
антуан антуан
апрель апреля
аргументировать аргументировали
артур артур
архивировать архивировано
архивный архивная
ассоциация ассоциаций
аудио аудио
афк афк
базель базеле
байрами байрами
барасси барасси
барош барош
бастен бастен
башҡортса башҡортса
беккенбауэр беккенбауэр
беларуская беларуская
бельгийский бельгийского
бельгия бельгия
библиографический библиографических
благодаря благодаря
благожелательный благожелательный
блаттер блаттер
болгария болгария
болельщик болельщиков
больший большая большим
большой наибольшее
бомбардир бомбардиры
бороться борются борясь
борьба борьба
британский британские
бронза бронза бронзы
бронзовый бронзовые бронзовыми
будущее будущих
български български
быстрый быстрый
бюллетень бюллетене
важный важное
валька вальке
ван ван
вариант вариант
ввести введено введён ввела ввели
век века
великобритания великобритании великобритания
венгрия венгрия
вено вене
верный верным
версия версии версия
вестись велась
вид виды
видео видео
викиданных викиданных
викимедиа викимедиа
викиновости викиновости
википедии википедии
википедия википедия
викисклад викисклад
вильям вильям
вица вице
вклад вклад
включение включение
вместе вместе
вместо вместо
внеочередной внеочередной
внешний внешние
вновь вновь
возможно возможно
возможность возможности
возраст возрасте
войти войти вошли
вопрос вопросы
восемь восемь восьми
впервые впервые
временить времени
временной временной
время время
вручать вручать
вручаться вручаться
встретиться встретились
встреча встрече
второе второе втором вторые вторыми вторых
вулфолл вулфолл
вход входом
выбирать выбирали
выбрать выбрал выбрала выбранной
выдвинуть выдвинул выдвинут
выезд выезде
выездной выездных
выиграть выиграв выиграла выиграли выиграть
выигрывать выигрывавших выигрывал выигрывала выигрывали
выйти выйти вышла
вылет вылет
высокий выше
выступать выступает выступал выступала выступали
выступить выступить
выступление выступления
выход выход
выходить выходила выходили выходят
вычисляться вычисляется
выявить выявило
гарри гарри
гарсии гарсии
гасман гасман
гдр гдр
генеральный генерального генеральные генеральный генеральным
гера герё
герен герен
германий германии германию германия
гимн гимн
главное главное
главный главная
гладкий гладко
го го
год год года годах годов году годы лет
гол гол гола голы
голова голов
голосование голосования
гомес гомес
гомеш гомеш
город городов
графстрём графстрём
греция греции греция
гризманн гризманн
грузия грузия
группа групп группа группах группе группы
групповой групповом групповому
грэм грэм
густав густав
дания дании дания
дата дата
датский датская датского
дать данный данным
дважды дважды
дебютант дебютант дебютантом дебютанты
девушка девушек
действовать действовать действующий
делать делать
делегация делегации делегациями
делиться делится
делоне делоне
день дней дня
десять десяти
деть день
джанни джанни
джердан джердан
джордж джордж
дискуссия дискуссии дискуссий
